country;region;lifeExp;gdpPercap;pop
New York City Public Schools;New York City Public Schools;-0.235757;-0.8876;70986
Los Angeles Unified;Los Angeles Unified;-1.289757;-0.595;49398
City of Chicago;City of Chicago;-1.564757;-1.2862;29007
Dade;Dade;0.178243;-0.5289;26421
Clark County School District;Clark County School District;-0.708757;0.0122;24468
Broward;Broward;0.452243;-0.0591;19164
Houston;Houston;-0.551757;-0.8436;16229
Hillsborough;Hillsborough;0.248243;-0.1819;14677
Philadelphia City;Philadelphia City;-1.375757;-1.8208;14393
Hawaii Department of Education;Hawaii Department of Education;-0.471757;0.4943;13645
Orange;Orange;0.252243;-0.2132;13263
Dallas;Dallas;-1.043757;-1.0883;13087
Palm Beach;Palm Beach;0.323243;-0.0597;13055
Gwinnett County;Gwinnett County;0.415243;0.3352;12933
Fairfax Co. Public Schools;Fairfax Co. Public Schools;1.000243;1.5955;12637
Wake County Schools;Wake County Schools;0.942243;0.7493;11906
Charlotte-Mecklenburg Schools;Charlotte-Mecklenburg Schools;0.319243;-0.0485;11239
Montgomery County Public Schools;Montgomery County Public Schools;0.849243;1.2183;10503
San Diego Unified;San Diego Unified;-0.673757;0.1474;9627
Duval;Duval;0.127243;-0.3895;9108
Prince George's County Public Schools;Prince George's County Public Schools;-0.789757;0.1889;8829
Cobb County;Cobb County;0.234243;0.5962;8303
Cypress-Fairbanks;Cypress-Fairbanks;0.236243;0.8133;8276
Memphis City School District;Memphis City School District;-2.207757;-2.0633;7977
Baltimore County Public Schools;Baltimore County Public Schools;0.578243;0.4317;7673
Detroit City School District;Detroit City School District;-2.376757;-3.2371;7627
Pinellas;Pinellas;0.219243;-0.0888;7522
Northside;Northside;-0.073757;0.3629;7479
Dekalb County;Dekalb County;-0.891757;-0.6892;7390
Albuquerque Public Schools;Albuquerque Public Schools;-1.004757;-0.1651;7289
Jefferson County;Jefferson County;-0.613757;-0.7313;7197
Polk;Polk;-0.093757;-0.4149;7109
Fulton County;Fulton County;0.450243;0.5523;7023
Austin;Austin;-0.271757;-0.3685;6476
Fort Worth;Fort Worth;-1.160757;-1.0328;6292
Long Beach Unified;Long Beach Unified;-0.871757;-0.4965;6214
Prince Wm Co. Public Schools;Prince Wm Co. Public Schools;0.417243;1.1002;6181
Jefferson County School District No. R-1;Jefferson County School District No. R-1;0.918243;0.753;6171
Lee;Lee;0.410243;-0.1532;6121
School District No. 1 In The County Of Denver And State Of C;School District No. 1 In The County Of Denver And State Of C;-0.737757;-0.4215;6066
Milwaukee School District;Milwaukee School District;-1.928757;-1.8662;5916
Davidson County;Davidson County;-1.408757;-0.839;5823
